site_code,collection_period,mesohabitat_simple,density
PD,2018-06-01,Variable,0.01219512195121951
PD,2018-08-01,Slow,0.4372153545868575
PD,2018-08-01,Swift,0.07633918889611797
PD,2018-08-01,Variable,0.03469963131641726
PD,2018-09-01,Slow,0.43687943262411344
PD,2018-09-01,Swift,0.0851063829787234
PD,2018-09-01,Variable,0.0851063829787234
PD,2019-03-01,Slow,0.08648648648648646
PD,2019-03-01,Swift,0.00864864864864864
PD,2019-03-01,Variable,0.00576576576576576
PD,2019-10-01,Slow,0.2161777777777777
PD,2019-10-01,Swift,0.01706666666666666
PD,2019-10-01,Variable,0.01706666666666666
PD,2020-01-01,Slow,0.16531060312540355
PD,2020-01-01,Swift,0.02892935554694562
PD,2020-01-01,Variable,0.00826553015627018
PD,2020-06-01,Slow,0.15172542823348797
PD,2020-06-01,Swift,0.05330893424419848
PD,2020-06-01,Variable,0.02050343624776864
PD,2020-09-01,Slow,0.5060763007345723
PD,2020-09-01,Swift,0.1225899113580641
PD,2020-09-01,Variable,0.1603098840836223
PL,2017-04-01,Slow,0.40447427293064875
PL,2017-04-01,Swift,0.0680089485458613
PL,2017-04-01,Variable,0.7731543624161075
PL,2017-10-01,Slow,0.22164502164502164
PL,2017-10-01,Swift,0.00554112554112554
PL,2017-10-01,Variable,0.07203463203463203
PL,2017-11-01,Slow,2.2801932367149758
PL,2017-11-01,Swift,0.05797101449275361
PL,2017-11-01,Variable,0.4985507246376812
PL,2017-12-01,Slow,0.7382657120127287
PL,2017-12-01,Swift,0.02121453195438875
PL,2017-12-01,Variable,0.3267037920975868
PL,2018-02-01,Slow,3.997831978319783
PL,2018-02-01,Swift,0.05203252032520325
PL,2018-02-01,Variable,0.9105691056910568
PL,2018-03-01,Slow,0.06881720430107525
PL,2018-03-01,Variable,0.2752688172043011
PL,2018-04-01,Slow,1.839202657807309
PL,2018-04-01,Swift,0.1382059800664452
PL,2018-04-01,Variable,2.3353266888150612
PL,2018-05-01,Slow,0.5417396380618797
PL,2018-05-01,Swift,0.00934033858727378
PL,2018-05-01,Variable,0.2521891418563923
PL,2018-06-01,Slow,1.9523301316257562
PL,2018-06-01,Swift,0.07968694414799005
PL,2018-06-01,Variable,0.7399501956599076
PL,2018-08-01,Slow,0.20814923907707408
PL,2018-08-01,Swift,0.0078546882670594
PL,2018-08-01,Variable,0.0353460972017673
PL,2018-10-01,Slow,0.08789277081960008
PL,2018-10-01,Swift,0.01757855416392001
PL,2018-10-01,Variable,0.04570424082619204
PL,2019-03-01,Slow,0.45714285714285713
PL,2019-03-01,Swift,0.01587301587301587
PL,2019-03-01,Variable,0.10476190476190476
PL,2019-10-01,Slow,0.5484276729559748
PL,2019-10-01,Swift,0.07044025157232704
PL,2019-10-01,Variable,0.13584905660377358
PL,2020-01-01,Slow,0.8271108558299828
PL,2020-01-01,Swift,0.00919012062033314
PL,2020-01-01,Variable,0.21137277426766227
PL,2020-06-01,Slow,1.0109957599593713
PL,2020-06-01,Swift,0.07873798753577659
PL,2020-06-01,Variable,0.18267213108300168
PL,2020-09-01,Slow,0.9794037159729224
PL,2020-09-01,Swift,0.01920399443084161
PL,2020-09-01,Variable,0.11202330084657607
PL,2020-11-01,Slow,2.4460488420720403
PL,2020-11-01,Swift,0.09074052156073696
PL,2020-11-01,Variable,0.3787430465143804
SF,2017-03-01,Slow,1.1125037302297822
SF,2017-09-01,Slow,0.2884856784206322
SF,2017-09-01,Swift,0.01095515234508729
SF,2017-09-01,Variable,0.12415839324432269
SF,2017-11-01,Slow,3.9703703703703703
SF,2017-11-01,Swift,0.02539682539682539
SF,2017-11-01,Variable,2.361904761904762
SF,2017-12-01,Slow,0.5916114790286976
SF,2017-12-01,Variable,0.08388520971302428
SF,2018-02-01,Slow,3.5115044247787615
SF,2018-02-01,Variable,0.4294985250737463
SF,2018-04-01,Slow,1.3535014005602242
SF,2018-04-01,Variable,0.2196078431372549
SF,2018-05-01,Slow,0.7276914219919401
SF,2018-05-01,Variable,0.14277489925158318
SF,2018-06-01,Slow,1.4958333333333333
SF,2018-06-01,Variable,0.2583333333333333
SF,2018-07-01,Slow,0.3975757575757576
SF,2018-07-01,Variable,0.16
SF,2018-09-01,Slow,0.2997566909975669
SF,2018-09-01,Swift,0.07007299270072993
SF,2018-09-01,Variable,0.02335766423357664
SF,2019-04-01,Slow,1.6567921003469444
SF,2019-04-01,Swift,0.08540165465705898
SF,2019-04-01,Variable,1.4048572191086202
SF,2019-10-01,Slow,1.6098211902855615
SF,2019-10-01,Swift,0.17080330931411797
SF,2019-10-01,Variable,0.5252201761409128
SF,2020-01-01,Slow,4.303168567807351
SF,2020-01-01,Variable,0.450190114068441
SF,2020-06-01,Slow,0.88498587426393
SF,2020-06-01,Swift,0.34945596060678263
SF,2020-06-01,Variable,0.7760645358929849
SF,2020-09-01,Slow,0.7151033872256007
SF,2020-09-01,Variable,0.3275634870517267
SF,2020-11-01,Slow,1.658713928652579
SF,2020-11-01,Swift,0.00908884344467166
SF,2020-11-01,Variable,0.7134742104067258
TR,2017-04-01,Slow,0.6340557275541796
TR,2017-10-01,Slow,1.1022638563622171
TR,2017-10-01,Variable,0.07181889149102264
TR,2017-11-01,Slow,1.152861952861953
TR,2017-11-01,Variable,0.4417508417508417
TR,2017-12-01,Slow,0.5407407407407407
TR,2017-12-01,Variable,1.451851851851852
TR,2018-02-01,Slow,2.1333333333333333
TR,2018-02-01,Variable,10.703133903133905
TR,2018-04-01,Slow,1.3426573426573425
TR,2018-04-01,Variable,2.703962703962704
TR,2018-06-01,Slow,1.1777777777777778
TR,2018-06-01,Variable,1.662962962962963
TR,2018-07-01,Slow,0.895104895104895
TR,2018-07-01,Swift,0.00745920745920745
TR,2018-07-01,Variable,0.12307692307692306
TR,2018-09-01,Slow,0.19318181818181818
TR,2018-09-01,Variable,0.01515151515151515
TR,2019-10-01,Slow,0.0253565768621236
TR,2019-10-01,Swift,0.00563479485824969
TR,2019-10-01,Variable,0.01690438457474907
TR,2020-01-01,Slow,0.5077824944410755
TR,2020-01-01,Swift,0.02263998382858298
TR,2020-01-01,Variable,0.9896907216494848
TR,2020-06-01,Slow,0.1501146500639864
TR,2020-06-01,Swift,0.066050446028154
TR,2020-06-01,Variable,0.07205503203071344
TR,2020-09-01,Slow,0.6207154658560853
TR,2020-09-01,Variable,0.29940393058940584
TR,2020-11-01,Slow,1.9891928607383056
TR,2020-11-01,Variable,4.799938545261212
WM,2017-10-01,Slow,0.028852722001859548
WM,2017-10-01,Variable,0.00607425726354938
WM,2017-11-01,Slow,0.1486537732271521
WM,2017-11-01,Swift,0.00606750094804702
WM,2017-11-01,Variable,0.00910125142207053
WM,2017-12-01,Slow,0.5204301075268817
WM,2017-12-01,Swift,0.07311827956989247
WM,2017-12-01,Variable,0.18709677419354834
WM,2018-02-01,Slow,0.22857142857142854
WM,2018-02-01,Swift,0.00662525879917184
WM,2018-02-01,Variable,0.01159420289855072
WM,2018-03-01,Slow,0.20111374616394756
WM,2018-03-01,Swift,0.01500848851969758
WM,2018-03-01,Variable,0.00750424425984878
WM,2018-04-01,Slow,0.058762475049900176
WM,2018-04-01,Swift,0.00766467065868262
WM,2018-04-01,Variable,0.00510978043912174
WM,2018-05-01,Slow,0.08376068376068371
WM,2018-05-01,Swift,0.01025641025641025
WM,2018-05-01,Variable,0.00683760683760682
WM,2018-06-01,Slow,0.02263483642793985
WM,2018-06-01,Swift,0.00141467727674624
WM,2018-06-01,Variable,0.00282935455349248
WM,2018-09-01,Slow,0.1344173441734417
WM,2018-09-01,Swift,0.01734417344173441
WM,2018-09-01,Variable,0.015176151761517601
WM,2019-03-01,Slow,0.08787878787878786
WM,2019-03-01,Swift,0.02878787878787878
WM,2019-03-01,Variable,0.00909090909090909
WM,2019-10-01,Slow,0.033033963043253824
WM,2019-10-01,Variable,0.00165169815216269
WM,2020-01-01,Slow,0.16570978273105935
WM,2020-01-01,Swift,0.01440954632443994
WM,2020-06-01,Slow,0.05534213508779675
WM,2020-06-01,Swift,0.01295241459501625
WM,2020-09-01,Slow,0.03808892621603655
WM,2020-09-01,Swift,0.00761778524320731
WM,2020-11-01,Slow,0.1829305200293226
WM,2020-11-01,Swift,0.01554311608092283
