site_code,year_qtr,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,flood_duration,flood_total_days,gravel,green_algae,lf_days,lf_drought_duration,lf_min,nitrate,ph,phosphate,q_med_yr,q_q25_yr,rain,sand,silt,temperature,turbidity,width,wk4_75q_30mu,wk4_iqr,wk4_max,wk4_max_30mu,wk4_max_to_annual_med,wk4_max_to_wk4_med,wk4_max_to_wk4_med_30mu,wk4_med,wk4_med_30mu,wk4_min,wk4_min_to_annual_med,wk4_min_to_wk4_med,wk4_min_to_wk4_med_30mu
MR,2017 Q3,0.11625,0.15000000000000002,0.712837838125,1815.875,34.1875,0.5725,0.10625000000000001,10.23375,NA,NA,0.037500000000000006,0.049999999999999996,NA,NA,NA,0.021095,8.04375,0.05625000000000001,NA,NA,140124.70059934584,0.7,0.225,28.05,64.95536547636542,5.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,2017 Q3,0.08374999999999999,0.64375,0,1014,69.7625,0.30562500000000004,0.04,6.91875,NA,NA,0.175,0.21000000000000002,NA,NA,NA,0.7146975,7.33375,0.1775,NA,NA,168017.7240875682,0.44375000000000003,0.1125,27.237499999999997,66.62200223019454,2.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL,2017 Q3,0.08125,0.81875,0.60472972975,1477,133.375,0.28875,1.12375,4.72875,NA,NA,0.03125,0,NA,NA,NA,0.5564874999999999,7.828749999999999,0.07125000000000001,NA,NA,222232.68974161064,0.40625,0.325,28.950000000000003,67.05241272180885,3.3425000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,2017 Q3,0.138125,0.44937499999999997,0.6773648650624999,1280.6875,72.675,0.19187500000000002,0.6425,6.6921875,0,0,0.343594139625,0.020624999999999998,0,1,7.928718000000001,12.746500000000001,7.784375000000001,3.2175000000000002,11.0435715,6.229706999999999,42816.17789093464,0.164678899125,0.3271436279166666,28.7125,73.45355257805974,3.39625,136.70602902272728,7.0084203749999965,28.600018499999997,13202.280817159091,2.5897435897435894,1.629032258064516,0.4457372116349047,17.556447,64.16340784090909,7.928718000000001,0.717948717948718,0.45161290322580655,0.12357071213640924
TR,2017 Q3,0.195,0.6637500000000001,0.574324324375,5858.5,43.3875,0.231875,0.64,14.4075,NA,NA,0.275,0.12250000000000001,NA,NA,NA,0.110905,8.18875,0.31375,NA,NA,44143.925991336146,0.06875,0.425,27,94.65395206954344,3.57125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WM,2017 Q3,0.1025,0.266875,0.18581081075,540.075,55.00625,0.6387499999999999,0.08124999999999999,10.469375,NA,NA,0.075,0.031875,NA,NA,NA,0.1493875,8.07,0.24125,NA,NA,366983.413921036,0.4,0.30625,25.9375,70.2338918619152,7.2375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,2017 Q4,0.0875,1.6062500000000002,0.75000000025,922.5125,82.6,0.27125,1.12625,7.251250000000001,0,0,0.35,0.03375,0,1,88.49015625,12.989374999999999,7.7612499999999995,2.83,98.8258065,71.924799,22314.859697515225,0.36875,0.05,17.05,66.26893266481267,3.23125,310.86648981048387,10.618818749999996,146.114946,8188.1825562096765,1.478510028653295,1.4135338064438856,0.7845619159232247,103.49808675,186.5235476733871,88.49015625,0.8954154727793696,0.8550799496945742,0.47448248972642476
EM,2017 Q4,0.10041666666666667,0.4325,0.00225225225,464.175,64.27916666666667,0.5283333333333333,0.36083333333333334,6.673055555555555,1.6666666666666667,3,0.09583333333333333,0.0475,6.666666666666667,6.666666666666667,39.266032,0.4673569444444444,7.394166666666667,0.16444444444444445,61.4475645,0.8495054999999999,51116.22713452462,0.40486111108333334,0.4243055555833333,22.679166666666667,347.34101862525216,5.2425,1194.6473140150001,68.361595375,657.1396990000001,14966.45952928,10.69431643625192,49.50827111741524,6.688901289956458,93.02085225,157.11321053999998,39.266032,0.6390168970814133,0.6155694505290268,0.36583464221244505
GC,2017 Q4,0.06791666666666667,0.11166666666666666,0.6058558559166667,493.07916666666665,61.1375,0.29375,0.28750000000000003,7.169583333333334,0.3333333333333333,0.6666666666666666,0.17361111105555557,0.060000000000000005,0,1,51.2534985,0.15015166666666668,7.4870833333333335,0.06458333333333333,74.190147,22.087143,42236.90727259067,0.6958333333888889,0.13055555555555554,21.8125,687.0818831291185,6.6000000000000005,754.8571900806451,48.68138462499999,1023.9372959999998,17089.983225467742,13.801526717557252,7.383373582823881,7.765424794232317,82.26044925,175.15646377419355,51.2534985,0.6908396946564885,0.7060747458371331,0.3303132574692173
MR,2017 Q4,0.09,0.3283333333333333,0.4864864865,1122.5491666666667,74.55833333333332,0.4533333333333333,0.8333333333333334,4.168333333333333,1.6666666666666667,2,0.07083333333333333,0.5066666666666666,0,1,430.69928849999997,0.031841666666666664,7.6658333333333335,0.055,144.6991035,56.350531499999995,41250.33693861119,0.7333333333333333,0.12083333333333333,22.266666666666666,66.23060498397626,7.220833333333333,3066.694302447581,1748.42390325,39449.14763,42221.23631762903,272.6288323548597,35.985319007231865,47.82398878235425,716.65227875,810.8027601774194,430.69928849999997,2.9765166340508804,0.6707015485222927,0.5238501048245656
PD,2017 Q4,0.07083333333333333,0.4469444444166667,0,902.75,62.708333333333336,0.5408333333333333,0.12986111108333334,4.015833333333333,0,0,0.11435606058333334,0.12444444441666666,23,6.333333333333333,1.9821795,0.04861583333333334,7.520833333333334,0.056666666666666664,0.8495054999999999,0.2831685,31568.326797858328,0.3413041125,0.218961039,22.025,66.26373983924734,5.16125,69.43033172559524,1.1326740000000002,5.0026435,-Inf,5.888888888888889,2.1095238095238096,0.6741406964132788,2.8316850000000002,11.0931259875,1.9821795,2.3333333333333335,0.6,0.2792612264543145
PL,2017 Q4,0.08166666666666667,0.6745833333333333,0.46396396408333335,1499,86.27499999999999,0.39875,1.7691666666666668,3.5366666666666666,1.3333333333333333,3,0.07500000000000001,0.2608333333333333,0,1,50.498382500000005,2.8448333333333333,7.635833333333333,0.060833333333333336,75.03965249999999,43.3247805,69339.27983908757,0.49861111108333334,0.2763888889166667,20.783333333333335,369.81535686789414,3.8016666666666667,622.361735483871,2318.0645357500002,20076.552260499997,17332.987470806453,267.54591194968555,51.569031580403916,224.99501988700192,171.45852675,98.94607699193547,50.498382500000005,0.6729559748427675,0.5014592020932003,0.5172854190310587
SF,2017 Q4,0.12375,0.41250000000000003,0.668918919,1191.125,66.875,0.38,1.221875,6.82625,0.25,0,0.296130952375,0.06125,0,1,13.025751,16.0075,7.21875,2.3512500000000003,11.0435715,6.229706999999999,15120.445756069432,0.11398809525,0.458333333375,21.6,67.06379003555264,3.085,518.8917960426136,6.052726687499998,33.55546725,2537.4536215568182,3.0384615384615383,1.3996536796536798,0.4571083590787426,24.0693225,227.28777078409092,13.025751,1.1794871794871793,0.5416450216450216,0.16353934635329065
TR,2017 Q4,0.17,0.5416666666666667,0.7747747749999999,3529.1666666666665,34.94166666666666,0.3208333333333333,0.39708333333333334,16.519166666666667,1,1.3333333333333333,0.23749999997222224,0.028333333333333335,22,4.666666666666667,0.47194749999999996,0.7982975,7.585833333333333,0.155,3.964359,0.566337,34666.35430308477,0.23472222219444444,0.5138888888611111,19.704166666666666,84.7165870878793,4.273333333333333,53.948318725,5.073435625,144.038377,365.3062429,36.333333333333336,50.75000000000001,3.6569053940723664,2.69010075,38.89791295,0.47194749999999996,0.11904761904761904,0.17182539682539683,0.012525993053150289
WM,2017 Q4,0.09833333333333334,0.13125,0.5022522524166667,451.27500000000003,49.391666666666666,0.35625,0.24875,10.181666666666667,0.6666666666666666,1,0,0.00125,0,1,110.1525465,0.13417166666666666,7.055833333333333,0.22333333333333336,472.89139499999993,171.60011099999997,45741.99353842328,0.925,0.075,20.95,1095.0003303565757,7.494999999999999,4942.888856854839,978.7483228749996,15968.81561,42701.11253562903,33.7684630738523,20.16537325249972,14.25265013588095,427.8676035,1081.1936622177418,110.1525465,0.23293413173652697,0.24428261777672702,0.09209931928900776
AR,2018 Q1,0.2383333333333333,1.40625,0.7207207208333333,965.6666666666666,83.55,0.20666666666666667,1.5416666666666665,NA,0,0,0.5,0.12333333333333334,0,1,105.338682,10.750333333333334,7.94,1.8066666666666666,114.96641099999998,69.093114,37018.65272730421,0.2875,0.06666666666666668,14.283333333333333,119.6625,3.2733333333333334,238.07619999193548,11.468324249999997,227.66747399999997,3663.972028306451,1.980295566502463,1.914285714285714,1.3499796885578874,118.93077,168.64511068548387,105.338682,0.9162561576354682,0.8857142857142858,0.6246174678402167
EM,2018 Q1,0.25083333333333335,0.3716666666666667,0.041666666666666664,509.84166666666664,83.46666666666667,0.44625,0.40750000000000003,NA,2.5,3.5,0.041666666666666664,0.042499999999999996,7.5,3.5,0.2831685,0.5675833333333333,7.698333333333333,0.1925,80.98619099999999,10.4772345,62744.635362458954,0.3958333333333333,0.5541666666666667,13.216666666666667,58.625,5.4225,438.92297368749996,193.0147288125,1316.733525,7704.34825915625,16.25874125874126,23.274821109123437,14.209004618328656,51.25349849999999,86.510926421875,0.2831685,0.00349650349650349,0.0067456768038163355,0.00333822445988392
GC,2018 Q1,0.21166666666666667,0.43333333333333335,0.5337837838333334,447.8375,78.3125,0.4508333333333333,0.74625,NA,0,0,0.037500000000000006,0.10125,15,3,5.6633700000000005,0.18065833333333334,7.8325,0.13833333333333334,12.1762455,0.2831685,49485.68921529414,0.8541666666666666,0.10833333333333334,9.5,21.3275,6.4125000000000005,763.8767157701612,2.336140125000001,13.8752565,12533.366650838709,1.1395348837209305,1.75,0.04786588728355576,7.928718000000001,289.8777665564516,5.6633700000000005,0.4651162790697675,0.7142857142857143,0.01953709685043092
MR,2018 Q1,0.21416666666666667,0.22458333333333333,0.36824324308333334,1546.3333333333333,88.23333333333333,0.4583333333333333,0.6458333333333333,NA,0,0,0.11666666666666667,0.155,0,1,123.1782975,0.03108333333333333,7.966666666666667,0.115,362.45568,130.5406785,42047.656460173246,0.625,0.15833333333333333,15.766666666666667,3.158333333333333,6.576666666666667,1641.2377751491933,47.60770406250002,234.7466865,18207.551860645162,0.64765625,1.6756178122815055,0.3293411068668739,144.84068775,705.4663617943548,123.1782975,0.33984375,0.8552923306892977,0.17536569329226678
PD,2018 Q1,0.23083333333333333,0.24625,0.042792792833333336,742.7166666666667,82.70833333333333,0.48,0.4766666666666667,NA,0.25,0,0.1,0.12583333333333335,27.5,17,1.4158425,0.0205,7.740833333333334,0.10416666666666667,1.9821795,0.2831685,52372.58682401294,0.3416666666666667,0.2791666666666667,15.241666666666667,0.3375,4.734166666666667,12.548746919642857,0.7079212499999998,10.4772345,-Inf,5.285714285714286,5.380952380952381,1.3663880414887126,1.8405952499999998,6.799415053571429,1.4158425,0.7142857142857142,0.7619047619047619,0.20752287980475895
PL,2018 Q1,0.17416666666666666,0.41333333333333333,0.5900900901666667,1417.625,106.1625,0.20166666666666666,1.2816666666666667,NA,0,0,0.12083333333333332,0,0,1,24.494075249999998,2.4506666666666668,7.8412500000000005,0.05666666666666667,31.714872000000003,18.4059525,41683.343309860174,0.5375,0.30416666666666664,9.8375,3.1500000000000004,2.941666666666667,528.3558831290322,4.955448749999997,43.74953325,15139.046649967742,1.3794642857142856,1.4779491341991342,0.3660253480285175,29.87427675,120.37629952016127,24.494075249999998,0.7723214285714284,0.818632756132756,0.20310835307844838
SF,2018 Q1,0.3783333333333333,0.3504166666666667,0.7522522524166667,1118.8333333333333,80.54166666666667,0.21833333333333332,1.0916666666666666,NA,0,0,0.225,0.043333333333333335,0,1,8.7782235,16.185916666666667,7.519166666666667,1.9008333333333334,29.1663555,14.4415935,30825.111082330244,0.29583333333333334,0.425,17.75,112.275,3.0408333333333335,74.95537616071428,3.8935668749999977,22.087143,179.1647552142857,0.7572815533980582,1.3448275862068968,0.34100135317997293,16.423772999999997,64.77142332142857,8.7782235,0.30097087378640774,0.5344827586206897,0.13552617882793794
TR,2018 Q1,0.25083333333333335,0.6858333333333333,0.66216216225,3928.4166666666665,92.29166666666667,0.33416666666666667,1.7466666666666668,NA,2,5,0.09583333333333333,0.04416666666666667,25,15,0.2831685,0.9130833333333332,7.9816666666666665,0.2825,5.3802015,0.566337,38381.25134201245,0.17083333333333334,0.7166666666666666,16.609166666666667,34.95,3.77,29.208830775,1.345050375,125.726814,113.6638359,23.36842105263158,444.00000000000006,9.955156950672649,0.2831685,12.6293151,0.2831685,0.05263157894736842,1,0.02242152466367713
WM,2018 Q1,0.2275,0.14958333333333335,0.520270270375,507.07500000000005,90.41666666666667,0.5154166666666666,0.32875,NA,0,0,0,0.14291666666666666,0,1,434.6636475,0.48546666666666666,7.805,0.09916666666666667,540.851835,132.2396895,58450.250387785454,0.715,0.28500000000000003,12.991666666666667,35.65,8.254166666666666,3162.453211403226,233.96797312500001,1540.43664,25089.446155717742,2.848167539267015,2.0773030503641086,1.2570751598534944,742.6093912499999,1227.2865332540323,434.6636475,0.8036649214659686,0.5881135465848,0.35595614709007
AR,2018 Q2,0.07555555555555556,1.5116666666666667,0.8085585585833334,1438.5,70.54166666666666,0.15916666666666668,1.0358333333333334,NA,0,0,0.5916666666666667,0,0,1,64.373639,5.595638888888889,8.429166666666665,2.5575,114.96641099999998,69.093114,29549.890792449158,0.15000000000000002,0.0625,25.716666666666665,2.375,3.498611111111111,504.08560233870963,14.58317775,286.2833535,21476.610400241934,2.490147783251232,3.37421191168262,1.407897953531993,80.98619099999999,214.39661478225807,64.373639,0.5599343185550083,0.7777376941080055,0.31441716828493255
EM,2018 Q2,0.17083333333333334,0.15666666666666668,0.08558558558333333,948.4666666666667,70.05,0.7316666666666667,0.25583333333333336,NA,0,2.3333333333333335,0.08750000000000001,0.005833333333333334,7.666666666666667,7.666666666666667,67.2997135,1.6883333333333332,7.963333333333333,0.9566666666666667,80.98619099999999,10.4772345,52560.26137297287,0.5666666666666667,0.3458333333333333,24.825,225.19166666666666,5.9375,713.8215769739584,64.562418,4088.95314,11398.153522541666,50.489510489510494,13335.184471442535,36.87842037254536,134.5050375,131.52586890625,67.2997135,0.831002331002331,0.5872984840726776,0.36836602658004663
GC,2018 Q2,0.06999999999999999,0.3075,0.7995495495833334,416.39166666666665,35.38333333333333,0.24083333333333334,0.7054166666666666,NA,0,0.3333333333333333,0.075,0.33625,14,10.666666666666666,2.7372955,0.23,7.930833333333333,0.9924999999999999,12.1762455,0.2831685,38067.82544165199,0.7625,0.1625,23.833333333333332,18.316666666666666,5.197222222222222,1441.8681210080645,9.604131624999999,128.180941,17091.158526983872,10.527131782945736,6.6551423083638905,0.4041719182737913,11.6099085,342.00969637096773,2.7372955,0.22480620155038758,0.4570580458479882,0.008535919135796717
MR,2018 Q2,0.13416666666666666,0.3923611111111111,0.69369369375,2589.4666666666667,71.48333333333333,0.3425,0.4643055555555555,NA,0,0,0.058333333333333334,0.12055555555555555,2.5,1,63.57132825,0.03275,8.205833333333333,0.46249999999999997,362.45568,130.5406785,31091.44006345854,0.7958333333333333,0.06666666666666667,26.508333333333333,3.4591666666666665,5.033333333333333,3762.429030671371,23.18442093750002,274.107108,32985.855543314516,0.75625,2.7418844984802426,0.3365833785464606,82.26044925000001,1045.2137549879033,63.57132825,0.17539062500000002,0.5442350557244173,0.07945268779218541
PD,2018 Q2,0.13583333333333333,0.4425,0.21621621625,1020.3333333333334,79.23333333333333,0.33291666666666664,0.4729166666666667,NA,0,0,0.05,0.16583333333333333,28,20,1.132674,0.020155,8.150833333333333,0.21916666666666668,1.9821795,0.2831685,34344.269567432806,0.4666666666666667,0.44583333333333336,26.15833333333333,4.625,4.085,46.53514718452381,0.8967002499999999,3.0204639999999996,-Inf,1.5238095238095237,1.4153297682709447,0.2552335469739139,1.9349847499999997,18.958805285714284,1.132674,0.5714285714285714,0.6755793226381462,0.13159451740952846
PL,2018 Q2,0.1225,0.1955,0.4909909909166667,1218.7575,64.61666666666666,0.27,0.33749999999999997,NA,0,1.3333333333333333,0,0.10583333333333333,2.3333333333333335,1.6666666666666667,10.949182,0.39116666666666666,8.245,0.3566666666666667,31.714872000000003,18.4059525,51667.61635680752,0.32916666666666666,0.42083333333333334,25.625,21.375,2.986666666666667,843.2788378225805,10.430039749999999,6403.950017000001,18804.879064870966,201.92261904761904,237.9522439504954,69.39578583603831,17.178889,130.59396289516127,10.949182,0.34523809523809523,0.6151558941067404,0.1088575122822571
SF,2018 Q2,0.10166666666666666,0.11666666666666667,0.9121621621666667,1350.5,58.86666666666667,0.275,0.3379166666666667,NA,0,0,0.25833333333333336,0.043333333333333335,6.666666666666667,1.6666666666666667,4.719475,11.528333333333332,8.065,1.7925,29.1663555,14.4415935,44443.08446460481,0.15833333333333335,0.55,25.475,38.55,3.0233333333333334,137.74860395454544,8.943405125,22.65348,3042.8943775454545,0.7766990291262135,1.8258581777827652,0.3288251884897576,12.41221925,70.52182779545454,4.719475,0.16181229773462782,0.32785113696347,0.06997531391617573
TR,2018 Q2,0.12416666666666668,0.23458333333333334,0.7995495496666667,3353.1666666666665,34.0475,0.43166666666666664,0.22541666666666668,NA,2,6,0.07777777777777778,0.06541666666666666,22.5,10,0.2831685,0.035166666666666666,8.481666666666667,0.06833333333333333,5.3802015,0.566337,28666.600369228225,0.10460526316666667,0.8009502923888889,25.4,106.475,3.6166666666666667,37.27913302499999,3.4334180624999995,89.481246,783.8387248500001,16.63157894736842,197.5,4.742543768402784,0.495544875,21.350904900000003,0.2831685,0.05263157894736842,0.7,0.014131838432228084
WM,2018 Q2,0.8716666666666666,0.0925,0.8963963965,800.7916666666666,73.51666666666667,0.6866666666666666,0.21333333333333332,NA,0,0.6666666666666666,0,0.008333333333333333,3.3333333333333335,3,25.862722999999995,1.0246666666666666,8.321666666666667,0.11166666666666666,540.851835,132.2396895,48720.34456338543,0.925,0.075,24.75,69.8,9.220833333333333,3929.275793020161,139.93243374999997,1290.304465,34983.90922583871,2.3856893542757414,27.011011172837158,1.9997008086736516,106.23538224999999,932.9351611209677,25.862722999999995,0.04781849912739964,0.20330876194353348,0.026386247456674373
AR,2018 Q3,0.19166666666666665,0.9363888888888889,0.49549549558333333,1645.5166666666667,66.29166666666667,0.37166666666666665,0.3755555555555556,NA,3,3.6666666666666665,0.6,0.022222222222222223,0,1,31.9980405,4.189166666666667,8.345,1.5225,114.96641099999998,69.093114,92294.81560818617,0.24583333333333335,0.058333333333333334,27.983333333333334,10.65,3.3783333333333334,533.0738357177419,190.17124512499998,21969.911240999998,12874.971385806452,191.0985221674877,438.63918165709043,115.62900196206547,55.9729735,197.0243795483871,31.9980405,0.2783251231527094,0.5767704249699362,0.17820909174457425
EM,2018 Q3,0.13666666666666666,0.43916666666666665,0.01126126125,540.0958333333333,45.166666666666664,0.5635,0.3725,NA,4.5,5.5,0.12083333333333333,0.4691666666666667,10.5,2,2.40693225,0.11,8.08,0.10250000000000001,80.98619099999999,10.4772345,93934.36073102868,0.37083333333333335,0.5083333333333333,27.516666666666666,9.966666666666667,5.205,491.37551380468744,176.94491643749998,3347.9011755,11122.61680690625,41.33916083916084,86.90532544378698,23.01012942513073,119.78027549999999,106.88431006249999,2.40693225,0.02972027972027972,0.5094674556213018,0.01756362705972211
GC,2018 Q3,0.12125,0.25083333333333335,0.44932432437500003,461.6166666666667,54.375,0.24166666666666667,0.2025,NA,4,5,0.05,0.019583333333333335,11,10,0.2831685,0.13,7.831666666666667,0.085,12.1762455,0.2831685,140541.31730728934,0.9375,0.0125,26.9125,4.35,3.8091666666666666,1699.9564174112902,156.662972625,13034.246055,19640.370768943547,1070.46511627907,430.9772759618578,35.07824980798228,29.095563374999998,501.1146167056452,0.2831685,0.02325581395348837,0.009749039328241376,6.077975799264661e-4
MR,2018 Q3,0.1125,0.1,0.2905405405,1599,82.4125,0.7150000000000001,0.12250000000000001,NA,3,3,0.175,0.01,0,1,679.6043999999999,0.1275,8.22625,0.04375,362.45568,130.5406785,148586.4861836388,0.76875,0.05625,28.8625,3.04625,7.5287500000000005,4151.094924048387,1136.9215275,22115.45985,48031.56163466129,61.015625,19.095354523227385,31.071811292423593,1158.159165,711.7531592177419,679.6043999999999,1.875,0.5867970660146699,0.9548315890117364
PD,2018 Q3,0.24666666666666667,0.7475,0.08783783783333333,965.5833333333334,67.04166666666667,0.315,0.06,NA,0,0,0.041666666666666664,0.1175,28,28,0.2831685,0.2175,8.3966666666666665,0.0475,1.9821795,0.2831685,87955.75293773772,0.4,0.45,29.233333333333334,3.658333333333333,3.401666666666667,17.928948419642857,0,0.2831685,-Inf,0.14285714285714285,1,0.03593568384347152,0.2831685,8.933291964285715,0.2831685,0.14285714285714285,1,0.03593568384347152
PL,2018 Q3,0.13874999999999998,0.2375,0.231418918875,1108.8125,89.125,0.64125,0.38875000000000004,NA,5,6,0.1,0,0,1,18.9722895,0.78125,8.0375,0.13,31.714872000000003,18.4059525,167558.8279328833,0.221428571375,0.653571428625,28.0875,110.525,4.135,1037.5088314475806,521.73796125,6654.45975,17267.743012548388,209.82142857142856,70.4647676161919,24.079460567197728,94.43669475,276.3541870645161,18.9722895,0.5982142857142856,0.2008995502248875,0.06865207906392543
SF,2018 Q3,0.21083333333333332,0.3566666666666667,0.5180180180833334,377.8383333333333,60.91111111111111,0.24250000000000002,0.5308333333333334,NA,4,4.5,0.42083333333333334,0.1325,3,2.5,5.23861725,7.452500000000001,8.113888888888889,1.7816666666666665,29.1663555,14.4415935,71066.39380033765,0.3041666666666667,0.20416666666666666,28.058333333333334,7.686111111111112,2.908333333333333,98.19993975852273,97.51615218749998,50149.14134999999,7605.905909999999,1719.417475728155,3133.854052071874,879.0743338008414,26.263878375,59.75498914772727,5.23861725,0.17961165048543687,0.16802346901356802,0.08385582420449833
TR,2018 Q3,0.5233333333333333,0.25083333333333335,0.5945945946666666,3088.6666666666665,23.008333333333333,0.26416666666666666,0.13999999999999999,NA,2.5,4.5,0.1,0.09416666666666668,15,8.5,1.5574267499999999,0.09333333333333334,8.384166666666667,0.18000000000000002,5.3802015,0.566337,139342.00254038512,0.1875,0.7041666666666667,26.566666666666666,17.328333333333333,3.865,46.666168799999994,16.494565125,605.27266875,520.83182205,112.5,153.135593220339,29.16314454775993,5.9465385,26.320512075,1.5574267499999999,0.2894736842105263,0.2094915254237288,0.0496618765849535
