site_code,annualrain,collection_period,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com,year,month,day,nday,qtr,year_week,year_month,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,gravel,green_algae,ln_q_CDC,ln_q_FS,ln_q_HFPP15,ln_q_HFPP7,ln_q_WCDC,ln_q_max,ln_q_med,ln_q_min,ln_q_mu,ln_q_q25,ln_q_q75,ln_q_rsd,ln_q_sd,ln_rain,nitrate,ph,phosphate,q_DS,q_HFPP3,q_LFPP,sand,silt,temperature,turbidity,width
SF,56.67231884,2017-11-01,P. vigilax,39.29090909090909,39,5.4012094916846145,55,Leuciscidae,37.674418604651166,37,5.969415895093168,86,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-12-01,C. lutrensis,39.75,39,6.751543033509698,4,Leuciscidae,39.22222222222222,39,4.630814663149935,9,NA,NA,NA,152,2017,12,1,335,4,2017 W48,2017 Dec,0.1225,0.52875,0.777027027,1052.75,79.55,0.59,1.84125,6.295,0.25476190475,0.055,-1.791759469228055,-1.233386689532229,-3.0914201206379355,-2.200376171498564,-2.9536256602754443,3.542307892570742,3.2600754248865256,2.56692824432658,3.2564456568359468,3.0557749613737957,3.429634730066629,-1.4783750909733049,1.7817003339132207,9.434129973284264,17.295,7.205,1.3925,0.35000000000000003,0.18464443045940843,0.2117054751415985,0.08630952375,0.5375,18,128.10245151342917,3.02
SF,56.67231884,2017-12-01,G. affinis,31.11111111111111,31,5.819030083365364,9,Poeciliidae,40.51968503937008,42,7.583242169730201,127,NA,NA,NA,152,2017,12,1,335,4,2017 W48,2017 Dec,0.1225,0.52875,0.777027027,1052.75,79.55,0.59,1.84125,6.295,0.25476190475,0.055,-1.791759469228055,-1.233386689532229,-3.0914201206379355,-2.200376171498564,-2.9536256602754443,3.542307892570742,3.2600754248865256,2.56692824432658,3.2564456568359468,3.0557749613737957,3.429634730066629,-1.4783750909733049,1.7817003339132207,9.434129973284264,17.295,7.205,1.3925,0.35000000000000003,0.18464443045940843,0.2117054751415985,0.08630952375,0.5375,18,128.10245151342917,3.02
SF,56.67231884,2017-12-01,H. cyanoguttatus,52.285714285714285,39.5,35.45621041711673,14,Cichlidae,52.285714285714285,39.5,35.45621041711673,14,NA,NA,NA,152,2017,12,1,335,4,2017 W48,2017 Dec,0.1225,0.52875,0.777027027,1052.75,79.55,0.59,1.84125,6.295,0.25476190475,0.055,-1.791759469228055,-1.233386689532229,-3.0914201206379355,-2.200376171498564,-2.9536256602754443,3.542307892570742,3.2600754248865256,2.56692824432658,3.2564456568359468,3.0557749613737957,3.429634730066629,-1.4783750909733049,1.7817003339132207,9.434129973284264,17.295,7.205,1.3925,0.35000000000000003,0.18464443045940843,0.2117054751415985,0.08630952375,0.5375,18,128.10245151342917,3.02
SF,56.67231884,2017-12-01,P. latipinna,41.23728813559322,42,7.230843203778921,118,Poeciliidae,40.51968503937008,42,7.583242169730201,127,NA,NA,NA,152,2017,12,1,335,4,2017 W48,2017 Dec,0.1225,0.52875,0.777027027,1052.75,79.55,0.59,1.84125,6.295,0.25476190475,0.055,-1.791759469228055,-1.233386689532229,-3.0914201206379355,-2.200376171498564,-2.9536256602754443,3.542307892570742,3.2600754248865256,2.56692824432658,3.2564456568359468,3.0557749613737957,3.429634730066629,-1.4783750909733049,1.7817003339132207,9.434129973284264,17.295,7.205,1.3925,0.35000000000000003,0.18464443045940843,0.2117054751415985,0.08630952375,0.5375,18,128.10245151342917,3.02
SF,56.67231884,2017-12-01,P. vigilax,38.8,39,2.8635642126552705,5,Leuciscidae,39.22222222222222,39,4.630814663149935,9,NA,NA,NA,152,2017,12,1,335,4,2017 W48,2017 Dec,0.1225,0.52875,0.777027027,1052.75,79.55,0.59,1.84125,6.295,0.25476190475,0.055,-1.791759469228055,-1.233386689532229,-3.0914201206379355,-2.200376171498564,-2.9536256602754443,3.542307892570742,3.2600754248865256,2.56692824432658,3.2564456568359468,3.0557749613737957,3.429634730066629,-1.4783750909733049,1.7817003339132207,9.434129973284264,17.295,7.205,1.3925,0.35000000000000003,0.18464443045940843,0.2117054751415985,0.08630952375,0.5375,18,128.10245151342917,3.02
SF,56.67231884,2018-02-01,C. variegatus,33.77777777777778,32,4.381146476031638,9,Cyprinodontidae,33.77777777777778,32,4.381146476031638,9,44.003880983182405,46,9.16536256395904,773,2018,2,1,32,1,2018 W05,2018 Feb,0.5075,0.29500000000000004,0.62162162175,1145.5,88.2,0.1825,0.955,6.830851063829787,0.425,0.1275,-2.211226486293577,-1.4802261809540933,-2.5048653622667265,-1.9241227948704056,-3.581373261553355,3.042351941041655,2.798729858383904,2.1722740523226314,2.747378017700854,2.6094878587453763,2.857324022649957,-1.565146261338093,1.2335835970458109,9.230217061470084,17.37775,7.5675,0.755,0.4103448275862068,0.2646947765890497,0.1078665827564506,0.125,0.375,18.55,330.85,2.825
SF,56.67231884,2018-02-01,G. affinis,33.44736842105263,34,6.114658366718334,38,Poeciliidae,44.14030261348005,46,8.567322851681151,727,44.003880983182405,46,9.16536256395904,773,2018,2,1,32,1,2018 W05,2018 Feb,0.5075,0.29500000000000004,0.62162162175,1145.5,88.2,0.1825,0.955,6.830851063829787,0.425,0.1275,-2.211226486293577,-1.4802261809540933,-2.5048653622667265,-1.9241227948704056,-3.581373261553355,3.042351941041655,2.798729858383904,2.1722740523226314,2.747378017700854,2.6094878587453763,2.857324022649957,-1.565146261338093,1.2335835970458109,9.230217061470084,17.37775,7.5675,0.755,0.4103448275862068,0.2646947765890497,0.1078665827564506,0.125,0.375,18.55,330.85,2.825
SF,56.67231884,2018-02-01,H. cyanoguttatus,42.5,33.5,22.029884009537685,20,Cichlidae,42.5,33.5,22.029884009537685,20,44.003880983182405,46,9.16536256395904,773,2018,2,1,32,1,2018 W05,2018 Feb,0.5075,0.29500000000000004,0.62162162175,1145.5,88.2,0.1825,0.955,6.830851063829787,0.425,0.1275,-2.211226486293577,-1.4802261809540933,-2.5048653622667265,-1.9241227948704056,-3.581373261553355,3.042351941041655,2.798729858383904,2.1722740523226314,2.747378017700854,2.6094878587453763,2.857324022649957,-1.565146261338093,1.2335835970458109,9.230217061470084,17.37775,7.5675,0.755,0.4103448275862068,0.2646947765890497,0.1078665827564506,0.125,0.375,18.55,330.85,2.825
SF,56.67231884,2018-02-01,P. latipinna,44.730043541364296,47,8.293296194599419,689,Poeciliidae,44.14030261348005,46,8.567322851681151,727,44.003880983182405,46,9.16536256395904,773,2018,2,1,32,1,2018 W05,2018 Feb,0.5075,0.29500000000000004,0.62162162175,1145.5,88.2,0.1825,0.955,6.830851063829787,0.425,0.1275,-2.211226486293577,-1.4802261809540933,-2.5048653622667265,-1.9241227948704056,-3.581373261553355,3.042351941041655,2.798729858383904,2.1722740523226314,2.747378017700854,2.6094878587453763,2.857324022649957,-1.565146261338093,1.2335835970458109,9.230217061470084,17.37775,7.5675,0.755,0.4103448275862068,0.2646947765890497,0.1078665827564506,0.125,0.375,18.55,330.85,2.825
SF,56.67231884,2018-02-01,P. vigilax,45.35294117647059,46,8.506917600331128,17,Leuciscidae,45.35294117647059,46,8.506917600331128,17,44.003880983182405,46,9.16536256395904,773,2018,2,1,32,1,2018 W05,2018 Feb,0.5075,0.29500000000000004,0.62162162175,1145.5,88.2,0.1825,0.955,6.830851063829787,0.425,0.1275,-2.211226486293577,-1.4802261809540933,-2.5048653622667265,-1.9241227948704056,-3.581373261553355,3.042351941041655,2.798729858383904,2.1722740523226314,2.747378017700854,2.6094878587453763,2.857324022649957,-1.565146261338093,1.2335835970458109,9.230217061470084,17.37775,7.5675,0.755,0.4103448275862068,0.2646947765890497,0.1078665827564506,0.125,0.375,18.55,330.85,2.825
SF,56.67231884,2018-04-01,C. lutrensis,44.25,45.5,7.51051893925061,20,Leuciscidae,45.22784810126582,44,8.929853944147712,79,39.7046783625731,39,9.876535852890463,342,2018,4,1,91,2,2018 W13,2018 Apr,0.235,0.1325,0.93918918925,1216.25,54.875,0.105,0.42125,6.777954545454545,0.25,0.0325,-1.8436784619600413,-1.2288408709039498,-3.169157085994116,-2.225693979482854,-3.1416070440773898,3.6727607809681766,3.292163739438026,2.293634909326899,3.2434584613091353,2.9354887954992934,3.4523114387376586,-1.210411083954693,2.0817526554833328,10.866100700992328,9.795,7.7925,1.2425000000000002,0.5410526315789473,0.17973568281938326,0.17658904971680303,0.07500000000000001,0.625,22.45,3.925,2.975
SF,56.67231884,2018-04-01,G. affinis,35.578947368421055,37,5.935072365739288,95,Poeciliidae,37.592592592592595,37,8.800043826587585,243,39.7046783625731,39,9.876535852890463,342,2018,4,1,91,2,2018 W13,2018 Apr,0.235,0.1325,0.93918918925,1216.25,54.875,0.105,0.42125,6.777954545454545,0.25,0.0325,-1.8436784619600413,-1.2288408709039498,-3.169157085994116,-2.225693979482854,-3.1416070440773898,3.6727607809681766,3.292163739438026,2.293634909326899,3.2434584613091353,2.9354887954992934,3.4523114387376586,-1.210411083954693,2.0817526554833328,10.866100700992328,9.795,7.7925,1.2425000000000002,0.5410526315789473,0.17973568281938326,0.17658904971680303,0.07500000000000001,0.625,22.45,3.925,2.975
SF,56.67231884,2018-04-01,H. cyanoguttatus,43.55,38.5,15.411803405524166,20,Cichlidae,43.55,38.5,15.411803405524166,20,39.7046783625731,39,9.876535852890463,342,2018,4,1,91,2,2018 W13,2018 Apr,0.235,0.1325,0.93918918925,1216.25,54.875,0.105,0.42125,6.777954545454545,0.25,0.0325,-1.8436784619600413,-1.2288408709039498,-3.169157085994116,-2.225693979482854,-3.1416070440773898,3.6727607809681766,3.292163739438026,2.293634909326899,3.2434584613091353,2.9354887954992934,3.4523114387376586,-1.210411083954693,2.0817526554833328,10.866100700992328,9.795,7.7925,1.2425000000000002,0.5410526315789473,0.17973568281938326,0.17658904971680303,0.07500000000000001,0.625,22.45,3.925,2.975
SF,56.67231884,2018-04-01,P. latipinna,38.88513513513514,37,10.032954983248953,148,Poeciliidae,37.592592592592595,37,8.800043826587585,243,39.7046783625731,39,9.876535852890463,342,2018,4,1,91,2,2018 W13,2018 Apr,0.235,0.1325,0.93918918925,1216.25,54.875,0.105,0.42125,6.777954545454545,0.25,0.0325,-1.8436784619600413,-1.2288408709039498,-3.169157085994116,-2.225693979482854,-3.1416070440773898,3.6727607809681766,3.292163739438026,2.293634909326899,3.2434584613091353,2.9354887954992934,3.4523114387376586,-1.210411083954693,2.0817526554833328,10.866100700992328,9.795,7.7925,1.2425000000000002,0.5410526315789473,0.17973568281938326,0.17658904971680303,0.07500000000000001,0.625,22.45,3.925,2.975
SF,56.67231884,2018-04-01,P. vigilax,45.559322033898304,44,9.39785593016627,59,Leuciscidae,45.22784810126582,44,8.929853944147712,79,39.7046783625731,39,9.876535852890463,342,2018,4,1,91,2,2018 W13,2018 Apr,0.235,0.1325,0.93918918925,1216.25,54.875,0.105,0.42125,6.777954545454545,0.25,0.0325,-1.8436784619600413,-1.2288408709039498,-3.169157085994116,-2.225693979482854,-3.1416070440773898,3.6727607809681766,3.292163739438026,2.293634909326899,3.2434584613091353,2.9354887954992934,3.4523114387376586,-1.210411083954693,2.0817526554833328,10.866100700992328,9.795,7.7925,1.2425000000000002,0.5410526315789473,0.17973568281938326,0.17658904971680303,0.07500000000000001,0.625,22.45,3.925,2.975
SF,56.67231884,2018-05-01,C. lutrensis,39.06666666666667,38,6.041128875900438,15,Leuciscidae,41.43478260869565,41,6.972843993643038,23,36.16574585635359,36,12.909304918096309,181,2018,5,1,121,2,2018 W18,2018 May,0.0525,0.11,0.79729729725,1417,67.5,0.1325,0.32,6.785384615384615,0.325,0.045,-1.7962138195774355,-0.6711682738411697,-2.2374174431789133,-1.7828627248742253,-2.968934080399267,3.0149529668535404,2.5449493376078047,1.0408719408315308,2.5382603494570084,2.328726229138169,2.6991000174350632,-1.0566460045460069,1.488303333061798,10.00548431311181,8.692,7.9975,1.9275,0.5333333333333333,0.452863436123348,0.0737570799244808,0,0.675,26.8,62.175,2.895
SF,56.67231884,2018-05-01,G. affinis,26.71186440677966,23,9.824408111429317,59,Poeciliidae,35.946666666666665,36,13.223320190784497,150,36.16574585635359,36,12.909304918096309,181,2018,5,1,121,2,2018 W18,2018 May,0.0525,0.11,0.79729729725,1417,67.5,0.1325,0.32,6.785384615384615,0.325,0.045,-1.7962138195774355,-0.6711682738411697,-2.2374174431789133,-1.7828627248742253,-2.968934080399267,3.0149529668535404,2.5449493376078047,1.0408719408315308,2.5382603494570084,2.328726229138169,2.6991000174350632,-1.0566460045460069,1.488303333061798,10.00548431311181,8.692,7.9975,1.9275,0.5333333333333333,0.452863436123348,0.0737570799244808,0,0.675,26.8,62.175,2.895
SF,56.67231884,2018-05-01,H. cyanoguttatus,26.6,31,13.740451229854134,5,Cichlidae,25.125,31,13.378420790853562,8,36.16574585635359,36,12.909304918096309,181,2018,5,1,121,2,2018 W18,2018 May,0.0525,0.11,0.79729729725,1417,67.5,0.1325,0.32,6.785384615384615,0.325,0.045,-1.7962138195774355,-0.6711682738411697,-2.2374174431789133,-1.7828627248742253,-2.968934080399267,3.0149529668535404,2.5449493376078047,1.0408719408315308,2.5382603494570084,2.328726229138169,2.6991000174350632,-1.0566460045460069,1.488303333061798,10.00548431311181,8.692,7.9975,1.9275,0.5333333333333333,0.452863436123348,0.0737570799244808,0,0.675,26.8,62.175,2.895
SF,56.67231884,2018-05-01,O. aureus,22.666666666666668,31,15.30795000427338,3,Cichlidae,25.125,31,13.378420790853562,8,36.16574585635359,36,12.909304918096309,181,2018,5,1,121,2,2018 W18,2018 May,0.0525,0.11,0.79729729725,1417,67.5,0.1325,0.32,6.785384615384615,0.325,0.045,-1.7962138195774355,-0.6711682738411697,-2.2374174431789133,-1.7828627248742253,-2.968934080399267,3.0149529668535404,2.5449493376078047,1.0408719408315308,2.5382603494570084,2.328726229138169,2.6991000174350632,-1.0566460045460069,1.488303333061798,10.00548431311181,8.692,7.9975,1.9275,0.5333333333333333,0.452863436123348,0.0737570799244808,0,0.675,26.8,62.175,2.895
SF,56.67231884,2018-05-01,P. latipinna,41.934065934065934,40,11.624497310806078,91,Poeciliidae,35.946666666666665,36,13.223320190784497,150,36.16574585635359,36,12.909304918096309,181,2018,5,1,121,2,2018 W18,2018 May,0.0525,0.11,0.79729729725,1417,67.5,0.1325,0.32,6.785384615384615,0.325,0.045,-1.7962138195774355,-0.6711682738411697,-2.2374174431789133,-1.7828627248742253,-2.968934080399267,3.0149529668535404,2.5449493376078047,1.0408719408315308,2.5382603494570084,2.328726229138169,2.6991000174350632,-1.0566460045460069,1.488303333061798,10.00548431311181,8.692,7.9975,1.9275,0.5333333333333333,0.452863436123348,0.0737570799244808,0,0.675,26.8,62.175,2.895
SF,56.67231884,2018-05-01,P. vigilax,45.875,41,6.728139203587954,8,Leuciscidae,41.43478260869565,41,6.972843993643038,23,36.16574585635359,36,12.909304918096309,181,2018,5,1,121,2,2018 W18,2018 May,0.0525,0.11,0.79729729725,1417,67.5,0.1325,0.32,6.785384615384615,0.325,0.045,-1.7962138195774355,-0.6711682738411697,-2.2374174431789133,-1.7828627248742253,-2.968934080399267,3.0149529668535404,2.5449493376078047,1.0408719408315308,2.5382603494570084,2.328726229138169,2.6991000174350632,-1.0566460045460069,1.488303333061798,10.00548431311181,8.692,7.9975,1.9275,0.5333333333333333,0.452863436123348,0.0737570799244808,0,0.675,26.8,62.175,2.895
SF,56.67231884,2018-06-01,C. lutrensis,49.666666666666664,47,4.618802153517006,3,Leuciscidae,50,53,6.708203932499369,9,44.95811518324607,50,17.172379844069596,382,2018,6,1,152,2,2018 W22,2018 Jun,0.0175,0.1075,1,1418.25,54.225,0.5875,0.2725,7.004545454545454,0.2,0.0525,-1.2190001708090863,-0.9002903905277134,-1.9937316195643895,-1.5117848074744795,-2.0783344376499566,2.6094878587453763,2.1722740523226314,0.3477247602715854,2.087624843956299,1.8063397829711023,2.321805786293595,-1.0311928793705798,1.1410811729520514,10.98208508778544,16.098,8.405,2.2075,0.6387096774193548,0.6984266834487098,0.03763373190685966,0.4,0.35,27.175,49.55,3.2
