site_code,collection_period,substrate_simple,density
WM,2017-10-01,Mixed,0.03492697926540893
WM,2017-11-01,Mixed,0.16382252559726965
WM,2017-12-01,Mixed,0.7720430107526881
WM,2017-12-01,"Mud(Silt,Clay,Detritus)",0.0086021505376344
WM,2018-02-01,Mixed,0.2467908902691511
WM,2018-03-01,Mixed,0.2236264789434939
WM,2018-04-01,Mixed,0.07153692614770454
WM,2018-05-01,Mixed,0.10085470085470079
WM,2018-06-01,Mixed,0.02687886825817857
WM,2018-09-01,Mixed,0.16693766937669371
WM,2019-03-01,Mixed,0.1227272727272727
WM,2019-03-01,"Mud(Silt,Clay,Detritus)",0.00303030303030303
WM,2019-10-01,Mixed,0.03468566119541651
WM,2020-01-01,Mixed,0.1801193290554993
WM,2020-06-01,Mixed,0.068294549682813
WM,2020-09-01,Mixed,0.04570671145924386
WM,2020-11-01,Mixed,0.19847363611024546
