site_code,collection_period,macrohabitat_simple,density
EM,2020-06-01,LargeRivers,0.0043725523954755
EM,2020-06-01,Variable,0.00655882859321325
EM,2020-09-01,Creeks,0.147615093643325
EM,2020-09-01,LargeRivers,0.00468619344899444
EM,2020-09-01,Variable,0.014058580346983318
EM,2020-11-01,Creeks,0.4230500803979623
EM,2020-11-01,LargeRivers,0.031974715378915726
EM,2020-11-01,Variable,0.03197471537891574
GC,2017-04-01,Creeks,0.3490196078431372
GC,2017-04-01,Variable,0.01568627450980391
GC,2017-10-01,Creeks,0.02600696700639131
GC,2017-10-01,LargeRivers,0.02774076480681743
GC,2017-11-01,Creeks,0.6192733017377566
GC,2017-11-01,LargeRivers,0.01769352290679304
GC,2017-11-01,Variable,0.01769352290679303
GC,2017-12-01,Creeks,0.567427701674277
GC,2017-12-01,LargeRivers,0.01948249619482496
GC,2017-12-01,Variable,0.02922374429223744
GC,2018-02-01,Creeks,0.46747376916868427
GC,2018-02-01,LargeRivers,0.03874092009685229
GC,2018-02-01,Variable,0.028410008071024978
GC,2018-04-01,Creeks,0.4165289256198347
GC,2018-04-01,LargeRivers,0.00661157024793388
GC,2018-04-01,Variable,0.00661157024793388
GC,2018-05-01,Creeks,0.38095238095238093
GC,2018-05-01,LargeRivers,0.01839080459770115
GC,2018-05-01,Variable,0.01576354679802955
GC,2018-06-01,Creeks,0.26567164179104474
GC,2018-06-01,Variable,0.08059701492537312
GC,2018-07-01,Creeks,0.01882352941176469
GC,2018-08-01,Creeks,1.0831099195710456
GC,2018-08-01,LargeRivers,0.16085790884718498
GC,2018-08-01,Variable,0.353887399463807
GC,2018-11-01,Creeks,0.24642626625978953
GC,2018-11-01,LargeRivers,0.0084248296157193
GC,2018-11-01,Variable,0.00421241480785965
GC,2019-03-01,Creeks,0.06185367739441381
GC,2019-03-01,Variable,0.00309268386972069
GC,2019-10-01,Creeks,0.6444994656025265
GC,2019-10-01,Variable,0.05265518509824562
GC,2020-01-01,Creeks,0.11270440251572325
GC,2020-01-01,Variable,0.0140880503144654
GC,2020-06-01,Creeks,0.278288136008427
GC,2020-06-01,LargeRivers,0.00391955121138629
GC,2020-06-01,Variable,0.03135640969109036
GC,2020-09-01,Creeks,0.4254538955938246
GC,2020-09-01,LargeRivers,0.0084248296157193
GC,2020-09-01,Variable,0.01053103701964912
GC,2020-11-01,Creeks,0.5127975197073334
GC,2020-11-01,Variable,0.04251171147832816
MR,2017-04-01,Creeks,0.06195111397412674
MR,2017-04-01,Variable,0.03644183174948632
MR,2017-10-01,Creeks,0.00879120879120879
MR,2017-10-01,Variable,0.2695970695970696
MR,2017-11-01,Creeks,0.6283717679944095
MR,2017-11-01,Variable,0.35555555555555557
MR,2017-12-01,Creeks,0.1717171717171717
MR,2017-12-01,Variable,0.4828282828282828
MR,2018-02-01,Creeks,0.24432809773123904
MR,2018-02-01,Variable,1.1588132635253052
MR,2018-03-01,Creeks,0.02676962676962677
MR,2018-03-01,Variable,0.09060489060489055
MR,2018-04-01,Creeks,0.04226415094339621
MR,2018-04-01,Variable,0.04226415094339621
MR,2018-06-01,Creeks,0.01864801864801863
MR,2018-06-01,Variable,0.02983682983682981
MR,2018-08-01,Creeks,0.020781674341716842
MR,2018-08-01,Variable,0.01511394497579406
MR,2019-03-01,Creeks,0.15660377358490565
MR,2019-03-01,Variable,0.054716981132075446
MR,2019-10-01,Creeks,0.02248995983935742
MR,2020-01-01,Creeks,0.04647380039502727
MR,2020-01-01,Variable,0.01487161612640873
MR,2020-06-01,Creeks,0.03854400038543998
MR,2020-06-01,LargeRivers,0.00405726319846736
MR,2020-06-01,Variable,0.06694484277471155
MR,2020-09-01,Creeks,0.04098938118843585
MR,2020-09-01,Variable,0.09632504579282428
MR,2020-11-01,Creeks,0.162727410014516
MR,2020-11-01,LargeRivers,0.00328742242453567
MR,2020-11-01,Variable,0.17423338850039088
PD,2017-03-01,Creeks,0.1775410563692854
PD,2017-10-01,Creeks,0.12240437158469943
PD,2017-10-01,Variable,0.02997658079625292
PD,2017-11-01,Creeks,0.12626262626262627
PD,2017-11-01,Variable,0.02020202020202019
PD,2017-12-01,Creeks,0.43565373747752373
PD,2017-12-01,Variable,0.05205925164825754
PD,2018-02-01,Creeks,0.19639432297660145
PD,2018-02-01,Variable,0.01841196777905638
PD,2018-03-01,Creeks,0.15212527964205816
PD,2018-03-01,Variable,0.02087994034302757
PD,2018-04-01,Creeks,0.1614557485525227
PD,2018-04-01,Variable,0.015880893300248132
PD,2018-05-01,Creeks,0.18285714285714286
PD,2018-05-01,Variable,0.00338624338624338
PD,2018-06-01,Creeks,0.4552845528455285
PD,2018-06-01,Variable,0.06504065040650406
PD,2018-08-01,Creeks,0.3990457601387985
PD,2018-08-01,LargeRivers,0.00693992626328345
PD,2018-08-01,Variable,0.14226848839731077
PD,2018-09-01,Creeks,0.47659574468085103
PD,2018-09-01,Variable,0.13049645390070921
PD,2019-03-01,Creeks,0.09513513513513511
PD,2019-03-01,Variable,0.00576576576576576
PD,2019-10-01,Creeks,0.18773333333333328
PD,2019-10-01,LargeRivers,0.00568888888888888
PD,2019-10-01,Variable,0.05688888888888886
PD,2020-01-01,Creeks,0.17977528089887637
PD,2020-01-01,LargeRivers,0.00619914761720263
PD,2020-01-01,Variable,0.01653106031254036
PD,2020-06-01,Creeks,0.17427920810603348
PD,2020-06-01,LargeRivers,0.00410068724955373
PD,2020-06-01,Variable,0.04715790336986788
PD,2020-09-01,Creeks,0.5595129287624464
PD,2020-09-01,Variable,0.22946316741381229
PL,2017-04-01,Creeks,0.35436241610738256
PL,2017-04-01,LargeRivers,0.03579418344519015
PL,2017-04-01,Variable,0.8554809843400448
PL,2017-10-01,Creeks,0.2161038961038961
PL,2017-10-01,Variable,0.08311688311688312
PL,2017-11-01,Creeks,2.272463768115942
PL,2017-11-01,LargeRivers,0.01545893719806763
PL,2017-11-01,Variable,0.548792270531401
PL,2017-12-01,Creeks,0.7594802439671174
PL,2017-12-01,LargeRivers,0.01272871917263325
PL,2017-12-01,Variable,0.3139750729249536
PL,2018-02-01,Creeks,4.036856368563686
PL,2018-02-01,Variable,0.9235772357723576
PL,2018-03-01,Creeks,0.05161290322580644
PL,2018-03-01,LargeRivers,0.0043010752688172
PL,2018-03-01,Variable,0.2881720430107527
PL,2018-04-01,Creeks,1.9348837209302325
PL,2018-04-01,Variable,2.3778516057585826
PL,2018-05-01,Creeks,0.5417396380618797
PL,2018-05-01,Variable,0.2615294804436661
PL,2018-06-01,Creeks,1.9750978299537534
PL,2018-06-01,Variable,0.7968694414799005
PL,2018-08-01,Creeks,0.16887579774177708
PL,2018-08-01,LargeRivers,0.0078546882670594
PL,2018-08-01,Variable,0.0746195385370643
PL,2018-10-01,Creeks,0.10547132498352009
PL,2018-10-01,LargeRivers,0.007031421665568
PL,2018-10-01,Variable,0.03867281916062404
PL,2019-03-01,Creeks,0.45396825396825397
PL,2019-03-01,Variable,0.1238095238095238
PL,2019-10-01,Creeks,0.5333333333333333
PL,2019-10-01,LargeRivers,0.010062893081761
PL,2019-10-01,Variable,0.2113207547169811
PL,2020-01-01,Creeks,0.48094964579743443
PL,2020-01-01,LargeRivers,0.00919012062033314
PL,2020-01-01,Variable,0.5575339843002106
PL,2020-06-01,Creeks,1.0015472014550781
PL,2020-06-01,LargeRivers,0.00629903900286212
PL,2020-06-01,Variable,0.26455963812020933
PL,2020-09-01,Creeks,0.7937651031414534
PL,2020-09-01,LargeRivers,0.0096019972154208
PL,2020-09-01,Variable,0.30726391089346583
PL,2020-11-01,Creeks,1.077050538525269
PL,2020-11-01,LargeRivers,0.00789048013571625
PL,2020-11-01,Variable,1.830591391486172
SF,2017-03-01,Creeks,0.08116980005968367
SF,2017-03-01,LargeRivers,0.05729632945389436
SF,2017-03-01,Variable,0.9740376007162042
SF,2017-09-01,Creeks,0.03651717448362431
SF,2017-09-01,Variable,0.3870820495264179
SF,2017-11-01,Creeks,0.7576719576719577
SF,2017-11-01,LargeRivers,0.2328042328042328
SF,2017-11-01,Variable,5.367195767195767
SF,2017-12-01,Creeks,0.03973509933774834
SF,2017-12-01,LargeRivers,0.02207505518763797
SF,2017-12-01,Variable,0.6136865342163356
SF,2018-02-01,Creeks,0.17935103244837758
SF,2018-02-01,LargeRivers,0.08023598820058997
SF,2018-02-01,Variable,3.68141592920354
SF,2018-04-01,Creeks,0.4257703081232493
SF,2018-04-01,LargeRivers,0.26442577030812325
SF,2018-04-01,Variable,0.8829131652661064
SF,2018-05-01,Creeks,0.2717328727691422
SF,2018-05-01,LargeRivers,0.03684513529073115
SF,2018-05-01,Variable,0.56188831318365
SF,2018-06-01,Creeks,0.2625
SF,2018-06-01,LargeRivers,0.025
SF,2018-06-01,Variable,1.4666666666666666
SF,2018-07-01,Creeks,0.09212121212121212
SF,2018-07-01,LargeRivers,0.04363636363636363
SF,2018-07-01,Variable,0.42181818181818187
SF,2018-09-01,Creeks,0.3581508515815085
SF,2018-09-01,Variable,0.03503649635036496
SF,2019-04-01,Creeks,0.47824926607953033
SF,2019-04-01,LargeRivers,0.07259140645850014
SF,2019-04-01,Variable,2.596210301574593
SF,2019-10-01,Creeks,0.46116893514811846
SF,2019-10-01,Variable,1.8446757405924739
SF,2020-01-01,Creeks,0.1135614702154626
SF,2020-01-01,Variable,4.639797211660329
SF,2020-06-01,Creeks,0.6036057501389882
SF,2020-06-01,Variable,1.4069006206247092
SF,2020-09-01,Creeks,0.19376995008693695
SF,2020-09-01,Variable,0.8488969241903905
SF,2020-11-01,Creeks,0.2272210861167916
SF,2020-11-01,Variable,2.1540558963871845
TR,2017-04-01,Creeks,0.42270381836945303
TR,2017-04-01,Variable,0.21135190918472652
TR,2017-10-01,Variable,1.1740827478532398
TR,2017-11-01,Creeks,0.05925925925925925
TR,2017-11-01,Variable,1.5353535353535355
TR,2017-12-01,Creeks,0.3333333333333333
TR,2017-12-01,Variable,1.6592592592592594
TR,2018-02-01,Creeks,0.20056980056980056
TR,2018-02-01,Variable,12.635897435897439
TR,2018-04-01,Creeks,0.1939393939393939
TR,2018-04-01,Variable,3.8526806526806525
TR,2018-06-01,Variable,2.8407407407407406
TR,2018-07-01,Creeks,0.0149184149184149
TR,2018-07-01,Variable,1.0107226107226106
TR,2018-09-01,Creeks,0.01515151515151515
TR,2018-09-01,Variable,0.19318181818181818
TR,2019-10-01,Creeks,0.01408698714562422
TR,2019-10-01,Variable,0.03380876914949814
TR,2020-01-01,Creeks,0.1520113199919143
TR,2020-01-01,Variable,1.3681018799272289
TR,2020-06-01,Creeks,0.09607337604095126
TR,2020-06-01,Variable,0.19214675208190257
TR,2020-09-01,Creeks,0.0766766163704576
TR,2020-09-01,Variable,0.8434427800750336
TR,2020-11-01,Creeks,0.8603663430185192
TR,2020-11-01,Variable,5.928765062980999
WM,2017-10-01,Creeks,0.028852722001859548
WM,2017-10-01,LargeRivers,0.00303712863177469
WM,2017-10-01,Variable,0.00303712863177469
WM,2017-11-01,Creeks,0.15320439893818735
WM,2017-11-01,LargeRivers,0.00303375047402351
WM,2017-11-01,Variable,0.00758437618505878
WM,2017-12-01,Creeks,0.518279569892473
WM,2017-12-01,LargeRivers,0.06021505376344084
WM,2017-12-01,Variable,0.20215053763440854
WM,2018-02-01,Creeks,0.2136645962732919
WM,2018-02-01,LargeRivers,0.0165631469979296
WM,2018-02-01,Variable,0.0165631469979296
WM,2018-03-01,Creeks,0.19360950190409879
WM,2018-03-01,LargeRivers,0.01200679081575806
WM,2018-03-01,Variable,0.01801018622363707
WM,2018-04-01,Creeks,0.052375249500997985
WM,2018-04-01,LargeRivers,0.00894211576846305
WM,2018-04-01,Variable,0.010219560878243501
WM,2018-05-01,Creeks,0.08888888888888885
WM,2018-05-01,LargeRivers,0.00341880341880341
WM,2018-05-01,Variable,0.00854700854700853
WM,2018-06-01,Creeks,0.016976127320954888
WM,2018-06-01,LargeRivers,0.0070733863837312
WM,2018-06-01,Variable,0.00282935455349248
WM,2018-09-01,Creeks,0.11924119241192409
WM,2018-09-01,LargeRivers,0.03468834688346882
WM,2018-09-01,Variable,0.013008130081300799
WM,2019-03-01,Creeks,0.060606060606060594
WM,2019-03-01,LargeRivers,0.05606060606060605
WM,2019-03-01,Variable,0.00909090909090909
WM,2019-10-01,Creeks,0.02807886858676575
WM,2019-10-01,LargeRivers,0.00495509445648807
WM,2019-10-01,Variable,0.00165169815216269
WM,2020-01-01,Creeks,0.16751097602161436
WM,2020-01-01,Variable,0.01260835303388495
WM,2020-06-01,Creeks,0.058874611795528456
WM,2020-06-01,LargeRivers,0.00706495341546341
WM,2020-06-01,Variable,0.00235498447182113
WM,2020-09-01,Creeks,0.03961248326467802
WM,2020-09-01,LargeRivers,0.00304711409728292
WM,2020-09-01,Variable,0.00304711409728292
WM,2020-11-01,Creeks,0.18412614434323976
WM,2020-11-01,LargeRivers,0.01076061882525426
WM,2020-11-01,Variable,0.00358687294175142
