site_code,qtr,collection_period,lowest_taxon,is_baseline,dens,dens_b_all,dens_sd20,dens_b_qtr,dens_b_qtr_fill,dens_RR_b_qtr,dens_RR_b_all,dens_LRR_b_qtr,dens_LRR_b_all
AR,3,2017-09-01,L. auritus,test,0.01718120805369127,0.024723245010219844,0.008445964306610872,NA,0.024723245010219844,-0.21720426631522427,-0.21720426631522427,-1.5269170487799781,-1.5269170487799781
AR,3,2017-09-01,L. cyanellus,test,0.00859060402684563,0.06995807354255129,0.06595530922381766,0.00690141093729185,0.00690141093729185,0.09994390976120734,-0.7674955985907757,-2.3031461527465633,-0.2646225342723742
AR,3,2017-09-01,L. macrochirus,test,0.08161073825503355,0.10610747278291627,0.08268386224298643,0.09332954558221426,0.09332954558221426,-0.11341197003384312,-0.21098327214204166,-2.1767283374051165,-1.5559764275964822
AR,3,2018-07-01,C. lutrensis,test,0.01628498727735369,0.14925978148683988,0.15589928733449604,0.05655305018288738,0.05655305018288738,-0.6050521019679383,-0.8349552722479046,-0.50244070570405,-0.1803771217361743
AR,3,2018-07-01,G. affinis,test,0.04071246819338422,0.02729929658583491,0.02928576335633479,0.02076843198338525,0.02076843198338525,0.6481980043951743,0.35960923758125796,-0.4335590669662939,-1.0227372882239092
AR,3,2018-07-01,I. punctatus,test,0.00814249363867684,0.01124748853967903,0.00970516947927644,0.017285626928984475,0.017285626928984475,-0.3350897274269786,-0.1461346782328513,-1.093356939955013,-1.923226628823038
AR,3,2018-07-01,L. megalotis,test,0.01628498727735369,0.07624485005889771,0.07072073267760595,0.0898467405278135,0.0898467405278135,-0.7367466665571152,-0.6952283265678666,-0.3055111818983349,-0.36351495993488725
AR,3,2018-08-01,L. cyanellus,test,0.01095890410958904,0.06995807354255129,0.06595530922381766,0.00690141093729185,0.00690141093729185,0.24006831070798934,-0.7378763246661347,-1.4268317681890406,-0.3039790501782605
AR,3,2018-08-01,L. gulosus,test,0.01095890410958904,0.012217162605822781,0.008562716400581727,0.0083073727933541,0.0083073727933541,0.14483407019479563,-0.05663452703469755,-1.932166535306679,-2.8711364614776436
AR,3,2018-08-01,L. megalotis,test,0.02191780821917808,0.07624485005889771,0.07072073267760595,0.0898467405278135,0.0898467405278135,-0.6803319963130194,-0.6299163579346362,-0.3851743700853226,-0.4621682335937529
AR,3,2018-08-01,M. salmoides,test,0.01095890410958904,0.00765562227277324,0.0032669787822724146,0.00690141093729185,0.00690141093729185,0.24006831070798934,0.18709518054822658,-1.4268317681890406,-1.6761378047285276
AR,4,2017-11-01,A. rostrata,test,0.0180028129395218,0.009137500898442275,0.005150639074767742,NA,0.009137500898442275,0.4632429327175698,0.4632429327175698,-0.7695036698044488,-0.7695036698044488
AR,4,2017-11-01,C. lutrensis,test,0.40956399437412094,0.14925978148683988,0.15589928733449604,0.1737663454963481,0.1737663454963481,1.283138369220379,1.6344629539052253,0.24930892800254137,0.4913142818321083
AR,4,2017-11-01,G. affinis,test,0.0720112517580872,0.02729929658583491,0.02928576335633479,0.017115953747077216,0.017115953747077216,2.024464952368753,1.1987345409948689,0.7053054445935025,0.18126645119481338
AR,4,2017-11-01,H. cyanoguttatus,test,0.13952180028129396,0.03564057548988837,0.022096760381085826,0.04882310736613725,0.04882310736613725,1.5418888422642103,2.2760717558090477,0.43300818581397754,0.8224510429239892
AR,4,2017-11-01,L. auritus,test,0.0090014064697609,0.024723245010219844,0.008445964306610872,NA,0.024723245010219844,-0.4527756128734986,-0.4527756128734986,-0.7923586120385083,-0.7923586120385083
AR,4,2017-11-01,L. cyanellus,test,0.0090014064697609,0.06995807354255129,0.06595530922381766,0.09362953322815207,0.09362953322815207,-0.8166410107442329,-0.7623578754727136,-0.2025556800201736,-0.27133918069654206
AR,4,2017-11-01,L. macrochirus,test,0.0990154711673699,0.10610747278291627,0.08268386224298643,0.1831768257419735,0.1831768257419735,-0.43567003573719554,-0.06108135372824911,-0.8308701209177566,-2.7955486356774184
AR,4,2017-11-01,L. megalotis,test,0.20253164556962025,0.07624485005889771,0.07072073267760595,0.13602596887884383,0.13602596887884383,0.4554373253017445,1.4642821620592958,-0.7864971671350893,0.3813651306154366
AR,4,2017-11-01,L. oculatus,test,0.0090014064697609,0.00863994317386815,0.005403874093458766,NA,0.00863994317386815,0.019391866837850453,0.019391866837850453,-3.942901535978832,-3.942901535978832
AR,4,2017-11-01,M. salmoides,test,0.0090014064697609,0.00765562227277324,0.0032669787822724146,0.01200084005880411,0.01200084005880411,-0.13633268461687315,0.07622411581963873,-1.9926571699302098,-2.5740773857862624
AR,4,2017-12-01,C. lutrensis,test,0.24761904761904763,0.14925978148683988,0.15589928733449604,0.1737663454963481,0.1737663454963481,0.4018837177352867,0.6176026691354933,-0.9115924915716339,-0.4819099584941651
AR,4,2017-12-01,G. affinis,test,0.07238095238095238,0.02729929658583491,0.02928576335633479,0.017115953747077216,0.017115953747077216,2.038099015411991,1.2086462727620995,0.7120175182189614,0.18950095046271045
AR,4,2017-12-01,H. cyanoguttatus,test,0.02666666666666667,0.03564057548988837,0.022096760381085826,0.04882310736613725,0.04882310736613725,-0.37666219435774656,-0.1966212898697971,-0.9764065294008633,-1.62647578684823
AR,4,2017-12-01,L. cyanellus,test,0.00761904761904761,0.06995807354255129,0.06595530922381766,0.09362953322815207,0.09362953322815207,-0.8299804402258834,-0.7796464217003518,-0.18635314446208745,-0.24891476758487274
AR,4,2017-12-01,L. macrochirus,test,0.05333333333333334,0.10610747278291627,0.08268386224298643,0.1831768257419735,0.1831768257419735,-0.6721483900044628,-0.4545283622549743,-0.3972761443767729,-0.7884949641103387
AR,4,2017-12-01,L. megalotis,test,0.12571428571428572,0.07624485005889771,0.07072073267760595,0.13602596887884383,0.13602596887884383,-0.07061540658643804,0.5735929231902509,-2.6505069346863097,-0.5558353273072646
EM,1,2018-02-01,D. cepedianum,test,0.01452564684521107,0.0052726973142198,NA,NA,0.0052726973142198,0.6058490743724891,0.6058490743724891,-0.5011243761220817,-0.5011243761220817
EM,1,2018-02-01,E. gracile,test,0.04599788167650174,0.006329654262431379,0.0014836885142943093,NA,0.006329654262431379,2.4292141631762885,2.4292141631762885,0.887567815411364,0.887567815411364
EM,1,2018-02-01,G. affinis,test,0.476925404751097,0.06256910413033936,0.05737199044326551,0.028682036170335698,0.028682036170335698,11.587894872103659,5.709816947396013,2.4499610077313005,1.7421869649046575
EM,1,2018-02-01,L. cyanellus,test,0.01452564684521107,0.02021303344672654,0.019405238116610116,0.05546888542208355,0.05546888542208355,-0.6253846894277776,-0.18824281949522934,-0.4693883155056242,-1.670022556481251
EM,1,2018-02-01,L. gulosus,test,0.03389317597215918,0.012093765070980447,0.0037074472507888667,0.013106450183933275,0.013106450183933275,0.8996070630823093,0.9866770480786753,-0.10579720756907286,-0.013412498686133308
EM,1,2018-02-01,L. humilis,test,0.00726282342260553,0,NA,NA,0,0.726282342260553,0.726282342260553,-0.3198164385744716,-0.3198164385744716
EM,1,2018-02-01,L. macrochirus,test,0.10410046905734605,0.052383671270897804,0.05782493866248007,0.024826178232314474,0.024826178232314474,2.2762845321762764,0.8290117707544138,0.8225445225876724,-0.18752092520890523
EM,1,2018-02-01,L. megalotis,test,0.660916931457104,0.1332638634384436,0.10882199560071489,0.1499701469540263,0.1499701469540263,3.194013347064801,3.683085569204811,1.1612782285770766,1.3037508707539376
EM,1,2018-02-01,L. oculatus,test,0.00726282342260553,0.009930080359090432,0.006396227390726813,0.00554688854220835,0.00554688854220835,0.11037159465950871,-0.13383071660663537,-2.203902472995942,-2.011179586584324
EM,1,2018-02-01,N. gyrinus,test,0.03631411711302769,0.018418601552765198,0.009232314404940255,0.013106450183933275,0.013106450183933275,1.004380454131008,0.6297113363244019,0.004370887868021094,-0.4624937609110375
EM,1,2018-02-01,P. annularis,test,0.00484188228173702,0.0050959421477957245,2.4996955357644077e-4,NA,0.0050959421477957245,-0.01682967936491477,-0.01682967936491477,-4.084611322362283,-4.084611322362283
EM,1,2018-02-01,P. vigilax,test,0.12346799818429414,0.00468619344899444,NA,NA,0.00468619344899444,8.087991292490612,8.087991292490612,2.0903804051214747,2.0903804051214747
EM,1,2018-03-01,C. lutrensis,test,0.01928180950409094,0,NA,NA,0,1.9281809504090939,1.9281809504090939,0.6565770457309732,0.6565770457309732
EM,1,2018-03-01,D. cepedianum,test,0.00482045237602273,0.0052726973142198,NA,NA,0.0052726973142198,-0.029611333799957076,-0.029611333799957076,-3.5195980922919037,-3.5195980922919037
EM,1,2018-03-01,E. gracile,test,0.00964090475204547,0.006329654262431379,0.0014836885142943093,NA,0.006329654262431379,0.20277529679437722,0.20277529679437722,-1.5956568253632455,-1.5956568253632455
EM,1,2018-03-01,G. affinis,test,0.6531712969510806,0.06256910413033936,0.05737199044326551,0.028682036170335698,0.028682036170335698,16.14416723129095,8.138479865480727,2.781558822284742,2.0966034138622955
EM,1,2018-03-01,L. auritus,test,0.01205113094005683,0.0052726973142198,NA,NA,0.0052726973142198,0.4438268818125466,0.4438268818125466,-0.8123206984105518,-0.8123206984105518
EM,1,2018-03-01,L. gulosus,test,0.00482045237602273,0.012093765070980447,0.0037074472507888667,0.013106450183933275,0.013106450183933275,-0.3586010720795222,-0.329202047346426,-1.0255447281905814,-1.1110835910417385
EM,1,2018-03-01,L. macrochirus,test,0.02651248806812504,0.052383671270897804,0.05782493866248007,0.024826178232314474,0.024826178232314474,0.04842075477135978,-0.4147108157586384,-3.02782673958546,-0.8801738311472156
EM,1,2018-03-01,L. megalotis,test,0.3133294044414778,0.1332638634384436,0.10882199560071489,0.1499701469540263,0.1499701469540263,1.0211858937305294,1.2568803931523402,0.020964592864921954,0.22863277245737573
EM,1,2018-03-01,L. oculatus,test,0.00964090475204547,0.009930080359090432,0.006396227390726813,0.00554688854220835,0.00554688854220835,0.26333347658100514,-0.01450950532234379,-1.334334078210827,-4.232951304855766
EM,1,2018-03-01,N. gyrinus,test,0.00482045237602273,0.018418601552765198,0.009232314404940255,0.013106450183933275,0.013106450183933275,-0.3586010720795222,-0.47849466313444744,-1.0255447281905814,-0.7371102214753656
EM,1,2018-03-01,P. nigromaculatus,test,0.00482045237602273,0.00493827160493827,NA,0.00493827160493827,0.00493827160493827,-0.007887072348891527,-0.007887072348891527,-4.842530271425711,-4.842530271425711
EM,1,2018-03-01,P. vigilax,test,0.05061474994823872,0.00468619344899444,NA,NA,0.00468619344899444,3.1273288520102533,3.1273288520102533,1.1401792382836828,1.1401792382836828
EM,2,2018-04-01,C. lutrensis,test,0.09389671361502348,0,NA,NA,0,9.389671361502348,9.389671361502348,2.239610293832657,2.239610293832657
EM,2,2018-04-01,G. affinis,test,0.24788732394366195,0.06256910413033936,0.05737199044326551,0.017490209581902,0.017490209581902,8.381060670903011,2.5536793106950535,2.125974478191272,0.9375351861772717
EM,2,2018-04-01,L. macrochirus,test,0.0056338028169014,0.052383671270897804,0.05782493866248007,0.04372552395475501,0.04372552395475501,-0.70900604282487,-0.7493927096882061,-0.3438912294611258,-0.28849212086815307
EM,2,2018-04-01,L. megalotis,test,0.05446009389671361,0.1332638634384436,0.10882199560071489,0.06121573353665702,0.06121573353665702,-0.09486161701144408,-0.5500603407612955,-2.355336112384038,-0.5977272962982917
EM,2,2018-04-01,N. gyrinus,test,0.0056338028169014,0.018418601552765198,0.009232314404940255,NA,0.018418601552765198,-0.4498743089847715,-0.4498743089847715,-0.7987870486001898,-0.7987870486001898
EM,2,2018-04-01,N. texanus,test,0.00375586854460093,0.0098383739627433,NA,NA,0.0098383739627433,-0.30660302248386817,-0.30660302248386817,-1.1822014545242983,-1.1822014545242983
EM,2,2018-04-01,P. vigilax,test,0.10892018779342724,0.00468619344899444,NA,NA,0.00468619344899444,7.097413955933535,7.097413955933535,1.9597304861401874,1.9597304861401874
EM,2,2018-05-01,C. lutrensis,test,0.05156912637828669,0,NA,NA,0,5.156912637828668,5.156912637828668,1.6403380744228417,1.6403380744228417
EM,2,2018-05-01,C. venusta,test,0.00542832909245123,0.006497151470341359,0.0029289811806113286,0.0043725523954755,0.0043725523954755,0.07345784297214253,-0.06478829874428094,-2.6110436023195405,-2.7366302668634606
EM,2,2018-05-01,D. cepedianum,test,0.01357082273112807,0.0052726973142198,NA,NA,0.0052726973142198,0.5433307061734415,0.5433307061734415,-0.6100371091247333,-0.6100371091247333
EM,2,2018-05-01,G. affinis,test,0.2279898218829517,0.06256910413033936,0.05737199044326551,0.017490209581902,0.017490209581902,7.657257456473912,2.279492350567051,2.035653885239997,0.823952764915367
EM,2,2018-05-01,L. cyanellus,test,0.00814249363867684,0.02021303344672654,0.019405238116610116,0.00655882859321325,0.00655882859321325,0.09563871239736518,-0.39951432977867685,-2.347177599496388,-0.9175056451357988
EM,2,2018-05-01,L. gulosus,test,0.00814249363867684,0.012093765070980447,0.0037074472507888667,0.00655882859321325,0.00655882859321325,0.09563871239736518,-0.17884101779888542,-2.347177599496388,-1.721258036518229
EM,2,2018-05-01,L. macrochirus,test,0.06785411365564037,0.052383671270897804,0.05782493866248007,0.04372552395475501,0.04372552395475501,0.4491085042037982,0.2479886494265941,-0.800490762964862,-1.3943723023057149
EM,2,2018-05-01,L. megalotis,test,0.2279898218829517,0.1332638634384436,0.10882199560071489,0.06121573353665702,0.06121573353665702,2.341815215038833,0.6611992457205311,0.8509263615669163,-0.413700053809465
EM,2,2018-05-01,L. oculatus,test,0.01628498727735369,0.009930080359090432,0.006396227390726813,0.00655882859321325,0.00655882859321325,0.5873699718183429,0.3188600750104192,-0.5321003820242416,-1.143002908757323
EM,2,2018-05-01,N. gyrinus,test,0.00542832909245123,0.018418601552765198,0.009232314404940255,NA,0.018418601552765198,-0.45710456357941315,-0.45710456357941315,-0.7828431099283315,-0.7828431099283315
EM,2,2018-05-01,P. vigilax,test,0.05699745547073791,0.00468619344899444,NA,NA,0.00468619344899444,3.5619346976071062,3.5619346976071062,1.270303851630104,1.270303851630104
EM,2,2018-06-01,C. lutrensis,test,0.00459770114942528,0,NA,NA,0,0.459770114942528,0.459770114942528,-0.777028664540649,-0.777028664540649
EM,2,2018-06-01,D. cepedianum,test,0.02758620689655172,0.0052726973142198,NA,NA,0.0052726973142198,1.4610064694699803,1.4610064694699803,0.37912556086962784,0.37912556086962784
EM,2,2018-06-01,G. affinis,test,0.02758620689655172,0.06256910413033936,0.05737199044326551,0.017490209581902,0.017490209581902,0.36725792448291683,-0.4820632368694511,-1.0016908862632865,-0.7296799767125002
EM,2,2018-06-01,L. cyanellus,test,0.00459770114942528,0.02021303344672654,0.019405238116610116,0.00655882859321325,0.00655882859321325,-0.11843394795400874,-0.5168409297542124,-2.133399875044763,-0.6600201312089625
EM,2,2018-06-01,L. megalotis,test,0.02758620689655172,0.1332638634384436,0.10882199560071489,0.06121573353665702,0.06121573353665702,-0.4722204626705853,-0.7376434922634802,-0.7503093205161846,-0.3042946439126388
EM,2,2018-06-01,L. oculatus,test,0.01149425287356321,0.009930080359090432,0.006396227390726813,0.00655882859321325,0.00655882859321325,0.29805395065039664,0.07848300088561024,-1.210480766411944,-2.544873226871839
EM,2,2018-06-01,P. annularis,test,0.00459770114942528,0.0050959421477957245,2.4996955357644077e-4,NA,0.0050959421477957245,-0.03300496209461137,-0.03300496209461137,-3.4110973623161915,-3.4110973623161915
EM,3,2018-07-01,A. natalis,test,0.00515297906602254,0,NA,NA,0,0.515297906602254,0.515297906602254,-0.6630100861397072,-0.6630100861397072
EM,3,2018-07-01,C. lutrensis,test,0.00515297906602254,0,NA,NA,0,0.515297906602254,0.515297906602254,-0.6630100861397072,-0.6630100861397072
EM,3,2018-07-01,L. megalotis,test,0.01288244766505636,0.1332638634384436,0.10882199560071489,0.040565774147984485,0.040565774147984485,-0.5474716238282206,-0.8402776030475522,-0.6024446472588854,-0.17402296192269015
EM,3,2018-07-01,L. oculatus,test,0.00515297906602254,0.009930080359090432,0.006396227390726813,0.008933968367271975,0.008933968367271975,-0.1996934413276515,-0.2396930271728171,-1.6109718817253795,-1.4283962277737716
EM,3,2018-07-01,N. texanus,test,0.00515297906602254,0.0098383739627433,NA,NA,0.0098383739627433,-0.23617837356630061,-0.23617837356630061,-1.4431679392485797,-1.4431679392485797
EM,3,2018-07-01,P. vigilax,test,0.00515297906602254,0.00468619344899444,NA,0.00468619344899444,0.00468619344899444,0.03178397578986413,0.03178397578986413,-3.448793022178406,-3.448793022178406
EM,4,2017-10-01,C. lutrensis,test,0.00486885946797904,0,NA,NA,0,0.486885946797904,0.486885946797904,-0.7197253788144429,-0.7197253788144429
EM,4,2017-10-01,D. cepedianum,test,0.02434429733989524,0.0052726973142198,NA,NA,0.0052726973142198,1.248738165452846,1.248738165452846,0.22213357382088003,0.22213357382088003
EM,4,2017-10-01,E. gracile,test,0.00730328920196857,0.006329654262431379,0.0014836885142943093,0.006329654262431379,0.006329654262431379,0.059623732621037276,0.059623732621037276,-2.8197015858312002,-2.8197015858312002
EM,4,2017-10-01,G. affinis,test,0.1801478003152248,0.06256910413033936,0.05737199044326551,0.14480392762987088,0.14480392762987088,0.22831379814767683,1.620230779943288,-1.4770342886057266,0.4825685958534088
EM,4,2017-10-01,I. bubalus,test,0.00486885946797904,0.00661975989734209,0.0024049732815697583,0.00491918698137165,0.00491918698137165,-0.003373341553762256,-0.10535052492804436,-5.691851466907853,-2.2504621560386635
EM,4,2017-10-01,L. cyanellus,test,0.01460657840393714,0.02021303344672654,0.019405238116610116,0.01293031432843798,0.01293031432843798,0.07310253368050305,-0.18556412260539953,-2.6158922523550667,-1.6843547822436467
EM,4,2017-10-01,L. gulosus,test,0.00973771893595809,0.012093765070980447,0.0037074472507888667,0.015209237283406996,0.015209237283406996,-0.21704418447639118,-0.10663850762661357,-1.5276543310698414,-2.2383105977087303
EM,4,2017-10-01,L. macrochirus,test,0.02434429733989524,0.052383671270897804,0.05782493866248007,0.11805430204057678,0.11805430204057678,-0.7317989572188485,-0.4494665568693939,-0.31224945135179216,-0.7996938285738315
EM,4,2017-10-01,L. megalotis,test,0.14119692457139243,0.1332638634384436,0.10882199560071489,0.24527973416421328,0.24527973416421328,-0.4077206125805024,0.05537377634910319,-0.8971731122291579,-2.8936491483941165
EM,4,2017-10-01,N. texanus,test,0.00730328920196857,0.0098383739627433,NA,0.0098383739627433,0.0098383739627433,-0.1277869227354847,-0.1277869227354847,-2.0573910682877883,-2.0573910682877883
EM,4,2017-10-01,P. vigilax,test,0.07546732175367526,0.00468619344899444,NA,NA,0.00468619344899444,4.819569383346724,4.819569383346724,1.5726845845168715,1.5726845845168715
EM,4,2017-11-01,A. natalis,test,0.00589318600368324,0,NA,NA,0,0.5893186003683241,0.5893186003683241,-0.5287883241401633,-0.5287883241401633
EM,4,2017-11-01,C. lutrensis,test,0.00589318600368324,0,NA,NA,0,0.5893186003683241,0.5893186003683241,-0.5287883241401633,-0.5287883241401633
EM,4,2017-11-01,D. cepedianum,test,0.05009208103130755,0.0052726973142198,NA,NA,0.0052726973142198,2.9346082617219293,2.9346082617219293,1.0765739730676895,1.0765739730676895
EM,4,2017-11-01,E. gracile,test,0.01767955801104972,0.006329654262431379,0.0014836885142943093,0.006329654262431379,0.006329654262431379,0.6950486254158093,0.6950486254158093,-0.3637734712376916,-0.3637734712376916
EM,4,2017-11-01,G. affinis,test,0.6040515653775322,0.06256910413033936,0.05737199044326551,0.14480392762987088,0.14480392762987088,2.966640735664676,7.461611490678612,1.0874302472445956,2.0097714084044855
EM,4,2017-11-01,I. punctatus,test,0.00883977900552486,0.0052726973142198,NA,NA,0.0052726973142198,0.23355937840684451,0.23355937840684451,-1.4543189369556624,-1.4543189369556624
EM,4,2017-11-01,L. auritus,test,0.0147329650092081,0.0052726973142198,NA,NA,0.0052726973142198,0.6194235045947137,0.6194235045947137,-0.4789660648031309,-0.4789660648031309
EM,4,2017-11-01,L. gulosus,test,0.04419889502762431,0.012093765070980447,0.0037074472507888667,0.015209237283406996,0.015209237283406996,1.1499617151566355,1.4531307748362485,0.1397286506528524,0.37372038386654666
EM,4,2017-11-01,L. macrochirus,test,0.05009208103130755,0.052383671270897804,0.05782493866248007,0.11805430204057678,0.11805430204057678,-0.5307296976850799,-0.03673381500167157,-0.6335024312546045,-3.3040575584492102
EM,4,2017-11-01,L. megalotis,test,0.4184162062615101,0.1332638634384436,0.10882199560071489,0.24527973416421328,0.24527973416421328,0.6782225493306243,1.9903996442591285,-0.38827980105148996,0.6883354448343756
EM,4,2017-11-01,L. miniatus,test,0.00589318600368324,0,NA,NA,0,0.5893186003683241,0.5893186003683241,-0.5287883241401633,-0.5287883241401633
EM,4,2017-11-01,L. oculatus,test,0.00589318600368324,0.009930080359090432,0.006396227390726813,0.01967674792548661,0.01967674792548661,-0.4644566162172354,-0.20255283885826875,-0.7668871239766599,-1.596754493839116
EM,4,2017-11-01,N. gyrinus,test,0.02357274401473296,0.018418601552765198,0.009232314404940255,0.02904290429042904,0.02904290429042904,-0.1401063874502039,0.18136509822265526,-1.9653532345999198,-1.7072431621134856
EM,4,2017-11-01,P. olivaris,test,0.00589318600368324,0,NA,NA,0,0.5893186003683241,0.5893186003683241,-0.5287883241401633,-0.5287883241401633
EM,4,2017-11-01,P. vigilax,test,0.1443830570902394,0.00468619344899444,NA,NA,0.00468619344899444,9.512121989024324,9.512121989024324,2.2525669840564886,2.2525669840564886
EM,4,2017-12-01,A. sayanus,test,0.00465589989815219,0,NA,NA,0,0.46558998981521893,0.46558998981521893,-0.7644498823337874,-0.7644498823337874
EM,4,2017-12-01,D. cepedianum,test,0.02095154954168485,0.0052726973142198,NA,NA,0.0052726973142198,1.0265935286275263,1.0265935286275263,0.02624606742998959,0.02624606742998959
